,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,dt_year,dt_month,dt_dayofweek,AgeuponOutcome_days,sex,desexed,Breed_is_mix,dogsize
2962,A671200,,2014-01-22 15:11:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,2014,1,2,365.0,Male,No,True,u
2963,A682370,,2014-07-01 16:40:00,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Brown Tabby,2014,7,1,60.0,Female,Yes,True,u
2964,A701255,Joshua,2015-05-07 00:00:00,Transfer,Partner,Dog,Neutered Male,9 years,Shih Tzu Mix,White,2015,5,3,3285.0,Male,Yes,True,s
2965,A701771,Stella,2015-05-20 11:22:00,Transfer,Partner,Cat,Spayed Female,2 years,Siamese/Domestic Shorthair,Lynx Point,2015,5,2,730.0,Female,Yes,False,u
2966,A684100,Bosco,2014-07-26 13:56:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown,2014,7,5,730.0,Male,Yes,True,s
2967,A678971,Squeaky,2014-05-17 11:43:00,Transfer,Partner,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Brown Tabby,2014,5,5,5110.0,Female,Yes,True,u
2968,A682166,,2014-06-25 13:57:00,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/Tricolor,2014,6,2,30.0,Male,No,True,m
2969,A695725,Orbit,2015-01-21 19:05:00,Return_to_owner,,Dog,Neutered Male,4 years,Jack Russell Terrier Mix,White/Brown,2015,1,2,1460.0,Male,Yes,True,s
2970,A675097,Speedeni,2014-03-23 13:15:00,Return_to_owner,,Dog,Neutered Male,10 years,Border Terrier/Pug,Brown,2014,3,6,3650.0,Male,Yes,False,s
2971,A693601,Camden,2014-12-15 14:10:00,Return_to_owner,,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Tan/White,2014,12,0,365.0,Male,Yes,True,u
2972,A704117,Ozma,2015-06-26 19:29:00,Adoption,,Dog,Spayed Female,5 months,Australian Shepherd Mix,Black/Tan,2015,6,4,150.0,Female,Yes,True,m
2973,A665671,,2013-10-25 12:49:00,Died,In Kennel,Cat,Intact Female,1 month,Siamese Mix,Seal Point,2013,10,4,30.0,Female,No,True,u
2974,A681897,Aspen,2014-10-12 13:58:00,Transfer,Partner,Dog,Intact Male,2 years,Shetland Sheepdog Mix,Sable/White,2014,10,6,730.0,Male,No,True,s
2975,A696567,Alexandra,2015-02-12 15:41:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,2015,2,3,365.0,Female,Yes,True,u
2976,A686537,Soko,2014-09-18 14:59:00,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Longhair Mix,Black,2014,9,3,1825.0,Female,Yes,True,u
2977,A695750,Loca,2015-01-21 18:00:00,Euthanasia,Suffering,Dog,Intact Female,13 years,Pit Bull Mix,Brown/White,2015,1,2,4745.0,Female,No,True,m
2978,A713405,,2015-11-20 19:16:00,Adoption,,Cat,Neutered Male,2 months,Siamese Mix,Seal Point,2015,11,4,60.0,Male,Yes,True,u
2979,A692555,Brutus,2014-12-04 17:33:00,Transfer,Partner,Dog,Neutered Male,8 years,German Shepherd Mix,Brown/Black,2014,12,3,2920.0,Male,Yes,True,l
2980,A712637,Red,2015-10-02 17:21:00,Adoption,,Dog,Spayed Female,5 months,Redbone Hound Mix,Red,2015,10,4,150.0,Female,Yes,True,m
2981,A673218,Hazel,2014-02-28 18:29:00,Adoption,,Dog,Spayed Female,3 months,Border Collie Mix,White/Black,2014,2,4,90.0,Female,Yes,True,m
2982,A707490,Latte,2015-07-19 11:59:00,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown Brindle/White,2015,7,6,60.0,Female,Yes,True,m
2983,A683196,April,2014-07-13 17:24:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,2014,7,6,60.0,Female,Yes,True,u
2984,A683566,Collin,2014-12-31 09:02:00,Adoption,Foster,Dog,Neutered Male,1 year,Labrador Retriever Mix,Buff,2014,12,2,365.0,Male,Yes,True,m
2985,A694928,,2015-01-07 10:03:00,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,2015,1,2,365.0,Female,Yes,True,u
2986,A710524,,2015-08-24 14:42:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black,2015,8,0,14.0,,,True,u
2987,A669115,Perfect,2013-12-23 11:28:00,Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/Blue Cream,2013,12,0,90.0,Female,No,True,u
2988,A697854,Monty,2015-09-28 17:39:00,Adoption,,Dog,Neutered Male,10 years,Beauceron Mix,Black/Tan,2015,9,0,3650.0,Male,Yes,True,l
2989,A705984,Cosmo,2015-07-16 18:15:00,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby/White,2015,7,3,30.0,Male,No,True,u
2990,A684264,Spots,2014-11-15 15:18:00,Transfer,Partner,Dog,Neutered Male,6 years,Pit Bull Mix,White/Brown,2014,11,5,2190.0,Male,Yes,True,m
2991,A667459,,2013-11-24 18:09:00,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,White,2013,11,6,60.0,Male,Yes,True,u
2992,A700409,,2015-04-15 18:20:00,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,2015,4,2,365.0,Female,No,True,u
2993,A709198,Cooper,2015-08-12 18:21:00,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Pomeranian,White/Brown,2015,8,2,60.0,Male,Yes,False,s
2994,A718385,Eleanor,2016-01-05 13:20:00,Transfer,Partner,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue,2016,1,1,2555.0,Female,Yes,True,u
2995,A717038,,2015-12-03 08:00:00,Euthanasia,Rabies Risk,Cat,Intact Female,2 years,Domestic Shorthair Mix,White/Blue,2015,12,3,730.0,Female,No,True,u
2996,A669006,Matthew,2013-12-23 11:27:00,Transfer,Partner,Cat,Intact Male,1 year,Domestic Longhair Mix,Black,2013,12,0,365.0,Male,No,True,u
2997,A700330,Dougal,2015-05-23 14:01:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,2015,5,5,365.0,Male,Yes,True,m
2998,A713415,Sissy,2015-10-18 18:23:00,Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Black,2015,10,6,300.0,Female,Yes,True,s
2999,A704794,,2015-06-10 09:00:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,2015,6,2,365.0,Female,No,True,u
3000,A717005,Thumper,2015-12-07 19:11:00,Return_to_owner,,Dog,Intact Male,2 years,Miniature Poodle Mix,White,2015,12,0,730.0,Male,No,True,s
3001,A714836,Desiree,2015-11-10 00:00:00,Return_to_owner,,Dog,Spayed Female,2 years,Border Collie Mix,White/Brown,2015,11,1,730.0,Female,Yes,True,m
3002,A680555,Achilles,2014-06-28 13:41:00,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair,Blue/White,2014,6,5,60.0,Male,No,False,u
3003,A680057,,2014-05-29 08:00:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,2014,5,3,90.0,Male,No,True,u
3004,A679186,,2014-05-17 13:30:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,White/Gray,2014,5,5,14.0,Female,No,True,u
3005,A684091,Benny,2014-08-30 18:22:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2014,8,5,60.0,Male,Yes,True,u
3006,A695306,Mr. Peabody,2015-01-18 17:38:00,Transfer,Partner,Dog,Neutered Male,1 year,Shih Tzu Mix,White/Tan,2015,1,6,365.0,Male,Yes,True,s
3007,A715547,Mr. Bonanny,2016-01-20 13:21:00,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,2016,1,2,365.0,Male,Yes,True,u
3008,A704110,,2015-06-07 15:32:00,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,2015,6,6,30.0,Male,No,True,u
3009,A651363,Luna,2015-01-09 18:23:00,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/White,2015,1,4,365.0,Female,Yes,True,s
3010,A687241,,2014-09-07 12:05:00,Transfer,Partner,Dog,Spayed Female,4 months,Doberman Pinsch Mix,Tricolor,2014,9,6,120.0,Female,Yes,True,l
3011,A714695,,2015-10-27 12:27:00,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby,2015,10,1,28.0,,,True,u
3012,A716349,,2015-11-18 17:56:00,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,2015,11,2,14.0,Male,No,True,u
3013,A673999,Scrappy,2014-03-05 18:50:00,Transfer,Partner,Dog,Intact Male,5 months,Miniature Pinscher Mix,Black/Tan,2014,3,2,150.0,Male,No,True,s
3014,A691096,,2014-11-02 12:51:00,Transfer,Partner,Dog,Intact Female,1 month,Catahoula Mix,Tan/White,2014,11,6,30.0,Female,No,True,u
3015,A717641,Templeton,2015-12-17 12:42:00,Adoption,,Dog,Neutered Male,3 years,Rat Terrier/Chihuahua Shorthair,Black/White,2015,12,3,1095.0,Male,Yes,False,s
3016,A668734,Vana White,2014-01-05 15:11:00,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown,2014,1,6,730.0,Female,No,True,m
3017,A684419,,2014-07-24 09:00:00,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby,2014,7,3,120.0,Female,No,True,u
3018,A701956,Davis,2015-10-18 17:07:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,2015,10,6,365.0,Female,Yes,True,u
3019,A709168,,2015-08-11 00:00:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,2015,8,1,21.0,Male,No,True,u
3020,A712229,Ginger,2015-11-10 14:25:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,2015,11,1,60.0,Male,Yes,True,u
3021,A687402,,2014-09-04 13:29:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,2014,9,3,21.0,Female,No,True,u
3022,A689982,,2014-10-18 14:24:00,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow,2014,10,5,730.0,Male,Yes,True,m
3023,A714355,Sarah,2015-11-20 15:05:00,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Longhair Mix,Brown Tabby,2015,11,4,1460.0,Female,Yes,True,u
3024,A708354,,2015-07-26 14:40:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby/White,2015,7,6,14.0,,,False,u
3025,A703324,Goose,2015-08-14 00:00:00,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Blue/White,2015,8,4,2190.0,Female,Yes,True,u
3026,A691598,Octavio,2014-11-13 17:07:00,Adoption,,Dog,Neutered Male,2 years,Collie Smooth/Siberian Husky,Brown/Tricolor,2014,11,3,730.0,Male,Yes,False,m
3027,A714685,,2015-11-01 18:39:00,Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,Yellow Brindle,2015,11,6,180.0,Female,Yes,True,m
3028,A541994,Snuggles,2015-06-22 19:58:00,Return_to_owner,,Cat,Neutered Male,6 years,American Shorthair Mix,White,2015,6,0,2190.0,Male,Yes,True,u
3029,A705531,,2015-06-22 15:40:00,Euthanasia,Suffering,Cat,Intact Female,5 years,Domestic Shorthair Mix,Black,2015,6,0,1825.0,Female,No,True,u
3030,A688339,,2014-11-15 18:05:00,Adoption,Foster,Dog,Spayed Female,1 month,Cairn Terrier Mix,Tricolor,2014,11,5,30.0,Female,Yes,True,s
3031,A705350,Toast,2015-07-18 18:20:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2015,7,5,60.0,Male,Yes,True,u
3032,A686451,Garen,2014-09-14 14:00:00,Adoption,,Dog,Neutered Male,2 years,Border Collie Mix,Black/White,2014,9,6,730.0,Male,Yes,True,m
3033,A682571,Finn,2014-07-25 10:04:00,Adoption,,Dog,Intact Male,3 months,German Shepherd Mix,Black/Brown,2014,7,4,90.0,Male,No,True,l
3034,A540369,Kolben,2015-07-04 16:55:00,Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd Mix,Black,2015,7,5,2555.0,Male,Yes,True,l
3035,A573350,Orson,2014-12-31 15:49:00,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby,2014,12,2,1460.0,Male,Yes,True,u
3036,A665850,Oscar,2013-12-21 19:22:00,Return_to_owner,,Dog,Neutered Male,5 years,Yorkshire Terrier Mix,Black/Tan,2013,12,5,1825.0,Male,Yes,True,s
3037,A712911,Eloise,2015-12-31 10:22:00,Adoption,Foster,Dog,Spayed Female,8 years,Shih Tzu Mix,White/Black,2015,12,3,2920.0,Female,Yes,True,s
3038,A681589,,2014-06-21 09:00:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Medium Hair Mix,Blue Tabby/White,2014,6,5,730.0,Female,No,True,u
3039,A693788,,2015-02-07 17:45:00,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever Mix,Cream/White,2015,2,5,30.0,Male,Yes,True,m
3040,A673264,Herman,2014-02-26 16:47:00,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,2014,2,2,730.0,Male,Yes,True,u
3041,A709527,Georgia,2015-08-28 14:24:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby,2015,8,4,365.0,Female,Yes,False,u
3042,A706154,,2015-06-30 13:09:00,Transfer,Partner,Dog,Spayed Female,4 months,Rat Terrier,Tricolor,2015,6,1,120.0,Female,Yes,False,s
3043,A702322,Lobo,2015-05-27 12:35:00,Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,White,2015,5,2,365.0,Male,Yes,True,m
3044,A677985,,2014-05-19 14:19:00,Adoption,,Dog,Spayed Female,10 months,Pit Bull Mix,Blue/White,2014,5,0,300.0,Female,Yes,True,m
3045,A708126,Mama,2015-09-04 17:25:00,Return_to_owner,,Dog,Spayed Female,2 years,Border Collie Mix,Black,2015,9,4,730.0,Female,Yes,True,m
3046,A717873,Claus,2015-12-20 18:01:00,Adoption,,Dog,Neutered Male,1 year,Miniature Schnauzer/Yorkshire Terrier,White,2015,12,6,365.0,Male,Yes,False,s
3047,A706254,,2015-07-07 08:34:00,Adoption,Foster,Dog,Neutered Male,7 months,Great Pyrenees Mix,White,2015,7,1,210.0,Male,Yes,True,l
3048,A667769,Navi,2013-11-30 17:22:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Sable,2013,11,5,1095.0,Male,Yes,True,s
3049,A668659,Brandy,2014-04-30 18:30:00,Adoption,,Dog,Spayed Female,3 years,Catahoula Mix,White/Brown,2014,4,2,1095.0,Female,Yes,True,u
3050,A526238,Cookie,2014-01-27 11:05:00,Adoption,Foster,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black/White,2014,1,0,3650.0,Female,Yes,True,u
3051,A685356,Rex,2014-08-07 17:35:00,Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd,Brown/Black,2014,8,3,1825.0,Male,Yes,False,l
3052,A695141,Beau,2015-01-31 11:44:00,Adoption,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black/Tricolor,2015,1,5,365.0,Male,Yes,True,m
3053,A675408,Ryan,2014-04-03 18:57:00,Adoption,,Dog,Spayed Female,6 months,Dachshund/Australian Kelpie,Black/White,2014,4,3,180.0,Female,Yes,False,s
3054,A685236,,2014-08-09 12:59:00,Adoption,,Dog,Spayed Female,5 months,Cairn Terrier Mix,Cream/Tan,2014,8,5,150.0,Female,Yes,True,s
3055,A689604,Gizmo,2014-10-13 11:34:00,Adoption,,Dog,Neutered Male,7 years,Pomeranian Mix,Tan,2014,10,0,2555.0,Male,Yes,True,s
3056,A598335,Jack,2014-10-27 17:54:00,Euthanasia,Aggressive,Dog,Intact Male,6 years,Akita,Brown/Black,2014,10,0,2190.0,Male,No,False,l
3057,A667061,Bella,2013-11-23 14:53:00,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Black,2013,11,5,120.0,Female,Yes,False,u
3058,A700535,Bunnies,2015-04-22 11:50:00,Return_to_owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan,2015,4,2,2190.0,Male,Yes,True,s
3059,A714854,Willow,2015-11-01 18:48:00,Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Sable,2015,11,6,120.0,Female,Yes,True,s
3060,A677210,Hera,2014-06-15 17:13:00,Adoption,Foster,Cat,Spayed Female,2 months,Manx Mix,Brown Tabby,2014,6,6,60.0,Female,Yes,True,u
3061,A673558,Gus,2014-03-13 18:24:00,Adoption,,Dog,Neutered Male,1 year,St. Bernard Smooth Coat/Anatol Shepherd,White/Brown Brindle,2014,3,3,365.0,Male,Yes,False,l
3062,A708524,,2015-07-29 13:44:00,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,2015,7,2,28.0,,,True,u
3063,A306362,Zoey,2015-07-18 16:40:00,Return_to_owner,,Dog,Spayed Female,13 years,Labrador Retriever/Chow Chow,Black,2015,7,5,4745.0,Female,Yes,False,m
3064,A718681,Bentley,2016-01-17 16:25:00,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,2016,1,6,730.0,Male,Yes,True,m
3065,A718592,Clara,2016-01-09 13:49:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie,2016,1,5,365.0,Female,Yes,True,u
3066,A673997,,2014-03-09 08:00:00,Transfer,SCRP,Cat,Intact Female,5 years,Domestic Shorthair Mix,Brown Tabby/White,2014,3,6,1825.0,Female,No,True,u
3067,A674241,Elise,2014-03-12 13:21:00,Transfer,Partner,Cat,Intact Female,1 year,Snowshoe Mix,Seal Point/White,2014,3,2,365.0,Female,No,True,u
3068,A678394,Ryder,2014-06-14 18:00:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,2014,6,5,1095.0,Male,Yes,True,s
3069,A696624,,2015-02-14 17:49:00,Adoption,,Cat,Neutered Male,6 months,Domestic Longhair Mix,Brown Tabby,2015,2,5,180.0,Male,Yes,True,u
3070,A703682,,2015-08-26 19:08:00,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby/White,2015,8,2,90.0,Male,Yes,True,u
3071,A712336,Azucar,2015-09-25 18:40:00,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan,2015,9,4,365.0,Female,Yes,True,m
3072,A676810,,2014-04-15 15:30:00,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,2014,4,1,14.0,Female,No,True,u
3073,A666944,,2014-02-10 17:51:00,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Black,2014,2,0,120.0,Female,Yes,True,u
3074,A659667,,2013-10-26 13:34:00,Transfer,SCRP,Cat,Neutered Male,8 years,Domestic Longhair Mix,Blue/White,2013,10,5,2920.0,Male,Yes,True,u
3075,A711383,Greta,2015-09-18 13:58:00,Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black,2015,9,4,730.0,Female,Yes,True,l
3076,A688273,Dutchess,2014-09-20 16:04:00,Adoption,Offsite,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Yellow Brindle/White,2014,9,5,60.0,Female,Yes,True,s
3077,A592009,Cookie,2015-04-29 18:30:00,Return_to_owner,,Dog,Neutered Male,7 years,Jack Russell Terrier/Rat Terrier,White/Black,2015,4,2,2555.0,Male,Yes,False,s
3078,A664543,Angel,2015-08-10 14:23:00,Adoption,Foster,Dog,Spayed Female,11 years,Chihuahua Shorthair Mix,Brown/White,2015,8,0,4015.0,Female,Yes,True,s
3079,A683925,Fluffette,2014-07-19 14:02:00,Adoption,,Cat,Intact Female,4 months,Domestic Shorthair Mix,Blue,2014,7,5,120.0,Female,No,True,u
3080,A687259,,2014-09-06 16:44:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,2014,9,5,1095.0,Male,Yes,True,s
3081,A707913,Shadow,2015-08-04 12:32:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,2015,8,1,365.0,Male,Yes,True,m
3082,A663294,Mostro,2015-04-28 14:34:00,Adoption,,Dog,Neutered Male,4 years,Pit Bull Mix,Brown,2015,4,1,1460.0,Male,Yes,True,m
3083,A657389,Canella,2015-08-04 12:04:00,Return_to_owner,,Dog,Spayed Female,5 years,Pit Bull Mix,Tan/White,2015,8,1,1825.0,Female,Yes,True,m
3084,A685553,Bertha,2014-08-10 17:14:00,Return_to_owner,,Dog,Spayed Female,4 months,Pointer Mix,Black/White,2014,8,6,120.0,Female,Yes,True,m
3085,A676210,Jack,2014-07-12 18:41:00,Adoption,Foster,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black,2014,7,5,90.0,Male,Yes,True,m
3086,A680316,Mojo,2014-06-07 16:58:00,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby,2014,6,5,60.0,Male,Yes,True,u
3087,A697339,,2015-02-23 18:36:00,Adoption,,Dog,Spayed Female,1 month,German Shepherd/Pit Bull,Brown,2015,2,0,30.0,Female,Yes,False,l
3088,A668988,Lillie,2013-12-14 13:29:00,Return_to_owner,,Dog,Spayed Female,5 years,Basset Hound Mix,Black/White,2013,12,5,1825.0,Female,Yes,True,m
3089,A701198,,2015-04-25 13:35:00,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Blue,2015,4,5,28.0,,,True,u
3090,A692849,Pelos,2014-11-30 17:00:00,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair/Border Terrier,Buff,2014,11,6,1825.0,Male,Yes,False,s
3091,A709339,,2015-08-07 14:37:00,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,2015,8,4,30.0,Female,No,True,u
3092,A690112,Dayz,2014-10-18 18:03:00,Adoption,,Dog,Spayed Female,2 months,Queensland Heeler Mix,Black,2014,10,5,60.0,Female,Yes,True,m
3093,A689485,Sabrina,2014-12-06 15:13:00,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,2014,12,5,90.0,Female,Yes,True,u
3094,A669889,,2014-01-02 18:02:00,Adoption,,Dog,Neutered Male,2 years,Chow Chow,Tan,2014,1,3,730.0,Male,Yes,False,m
3095,A687796,Boomer,2014-09-16 11:22:00,Transfer,Partner,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Brown Brindle/White,2014,9,1,365.0,Male,No,False,s
3096,A692439,Fluffy,2014-11-20 18:32:00,Return_to_owner,,Dog,Spayed Female,2 years,Soft Coated Wheaten Terrier Mix,White,2014,11,3,730.0,Female,Yes,True,s
3097,A685592,,2014-08-09 16:00:00,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,2014,8,5,365.0,Female,No,True,u
3098,A682374,Moonshine,2014-07-06 16:54:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,2014,7,6,60.0,Female,Yes,True,u
3099,A506241,Napoleon,2013-12-18 13:48:00,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Cream Tabby/White,2013,12,2,2555.0,Male,Yes,True,u
3100,A641941,Bo,2015-05-27 12:24:00,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White,2015,5,2,2190.0,Male,Yes,True,m
3101,A676226,Cassie,2014-05-05 12:32:00,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Blue,2014,5,0,730.0,Female,Yes,True,u
3102,A665133,Honey,2013-12-05 13:40:00,Adoption,,Dog,Spayed Female,8 months,Pit Bull Mix,Brown/White,2013,12,3,240.0,Female,Yes,True,m
3103,A699730,,2015-04-02 09:00:00,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Shorthair Mix,Calico,2015,4,3,1095.0,Female,No,True,u
3104,A680533,Ruby,2014-06-29 14:40:00,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,2014,6,6,365.0,Female,Yes,True,u
3105,A695109,Cupcake,2015-01-21 13:57:00,Adoption,,Dog,Spayed Female,9 months,Whippet Mix,Brown Brindle/White,2015,1,2,270.0,Female,Yes,True,m
3106,A713239,Tila,2015-10-06 18:06:00,Return_to_owner,,Dog,Intact Female,9 months,Pit Bull Mix,Fawn,2015,10,1,270.0,Female,No,True,m
3107,A687713,Coogi,2014-09-10 17:29:00,Adoption,,Dog,Neutered Male,2 months,Pit Bull/Siberian Husky,Black/White,2014,9,2,60.0,Male,Yes,False,m
3108,A687478,,2014-09-06 17:03:00,Return_to_owner,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Blue/Tan,2014,9,5,60.0,Female,Yes,True,s
3109,A694390,Sadie,2014-12-27 15:16:00,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever/Basset Hound,Red,2014,12,5,365.0,Female,Yes,False,m
3110,A701763,Sammy,2015-05-11 17:08:00,Adoption,,Dog,Spayed Female,1 year,Cairn Terrier Mix,White/Tan,2015,5,0,365.0,Female,Yes,True,s
3111,A430437,Sammy,2014-05-27 13:30:00,Transfer,Partner,Dog,Neutered Male,10 years,Cairn Terrier,Brown Brindle,2014,5,1,3650.0,Male,Yes,False,s
3112,A688164,Krypto,2015-08-04 17:27:00,Return_to_owner,,Dog,Neutered Male,2 years,Collie Smooth/Labrador Retriever,Brown/White,2015,8,1,730.0,Male,Yes,False,m
3113,A713577,Ferguson,2015-10-11 17:10:00,Return_to_owner,,Dog,Neutered Male,2 years,Cardigan Welsh Corgi Mix,Tricolor,2015,10,6,730.0,Male,Yes,True,m
3114,A711078,Jj,2015-09-03 16:55:00,Return_to_owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Yellow/White,2015,9,3,2190.0,Male,Yes,True,s
3115,A692828,Vail,2014-12-01 18:46:00,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Black/Brown,2014,12,0,240.0,Female,Yes,True,s
3116,A673569,,2014-02-27 15:18:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Black,2014,2,3,365.0,,,True,u
3117,A713499,Sammie,2015-10-11 16:27:00,Adoption,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Tan,2015,10,6,2190.0,Male,Yes,True,m
3118,A702614,Athena,2015-06-25 13:06:00,Adoption,,Dog,Spayed Female,2 years,Anatol Shepherd Mix,White/Tan,2015,6,3,730.0,Female,Yes,True,l
3119,A693162,,2015-01-01 17:21:00,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog/Border Collie,Black/White,2015,1,3,60.0,Male,Yes,False,m
3120,A588601,Jackie,2016-01-02 18:35:00,Return_to_owner,,Dog,Spayed Female,7 years,Australian Cattle Dog Mix,Blue Merle/White,2016,1,5,2555.0,Female,Yes,True,m
